Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Raiders,47,1268,27,49.8,70,1345,15,4,2,1,11,9,57,0,0
Seahawks,45.3,1087,24,51.1,73,1227,10,2,5,4,1,12,60,0,0
Cowboys,45.1,948,21,51,57,1071,7,0,2,1,6,12,103,0,0
49ers,44.6,1116,25,48.7,67,1218,14,2,5,1,6,11,82,0,0
Panthers,44.2,1371,31,47.9,69,1486,11,1,5,1,11,13,95,0,0
Jaguars,44.2,1415,32,47.7,62,1525,20,5,4,3,11,9,50,0,0
Giants,44,2024,46,47,64,2162,16,5,5,1,18,17,118,0,0
Jets,44,1760,40,48,58,1918,16,4,4,2,14,16,118,0,0
Vikings,43.1,1035,24,50.3,63,1207,4,3,2,4,4,11,92,0,0
Browns,43.1,1509,35,48.9,69,1713,12,7,2,2,8,16,164,0,0
Falcons,43,1548,36,48,62,1727,11,6,2,1,11,16,159,0,0
Buccaneers,42.9,1417,33,52.5,74,1732,15,4,4,4,4,17,235,0,0
Titans,42.6,1322,31,51.8,74,1606,15,7,2,5,3,14,184,0,0
Chiefs,42.6,980,23,47.6,62,1096,9,1,6,1,7,8,96,0,0
Lions,42.4,1145,27,45.5,62,1229,13,1,5,1,11,9,64,0,0
Rams,42.1,1180,28,49.1,72,1374,10,4,1,2,6,15,154,0,1
Commanders,42,1552,37,47.8,66,1769,13,0,5,1,11,20,197,0,0
Dolphins,41.8,836,20,45.6,63,912,5,4,2,2,7,5,36,0,0
Broncos,41,1229,30,43.8,61,1314,8,3,3,0,8,16,85,0,0
Colts,40.9,1433,35,47.3,57,1657,9,3,6,0,5,21,224,0,0
Ravens,40.7,1424,35,48.1,67,1683,17,4,3,1,12,15,239,1,1
Patriots,40.6,1623,40,45.8,65,1831,20,8,2,2,11,17,168,0,0
Texans,40.6,1257,31,43.5,74,1348,11,4,4,3,13,7,31,0,0
Steelers,40,1641,41,45.5,63,1867,13,7,5,4,10,15,146,0,0
Bills,39.9,838,21,46.6,70,978,9,3,2,2,5,9,100,1,0
Saints,39.6,1546,39,42.7,62,1666,17,5,5,2,11,16,80,0,0
Cardinals,39.6,1148,29,48,66,1392,4,1,3,1,3,21,224,0,0
Bengals,39.5,1383,35,44.5,62,1556,6,5,1,3,13,13,113,0,0
Eagles,39.4,709,18,45,59,810,6,0,3,1,6,8,81,0,0
Packers,39.2,1136,29,48.5,68,1406,6,0,1,4,11,13,190,1,0
Chargers,39,1092,28,43,65,1203,11,2,5,1,13,7,91,0,0
Bears,38,1101,29,45.4,58,1316,7,3,5,1,5,15,195,0,0
