Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
,5,5,100.0,,,,,,,50,0
,4,4,100.0,,,,,,,56,0
,3,3,100.0,,,,,,,50,0
,3,3,100.0,,,,,,,38,0
,3,3,100.0,,,,,,,52,0
,3,3,100.0,,,,,,,43,0
,3,5,60.0,,,,,,,54,1
,3,3,100.0,,,,,,,41,0
,3,3,100.0,,,,,,,54,0
,3,3,100.0,,,,,,,45,0
,3,3,100.0,,,,,,,43,0
,2,2,100.0,,,,,,,38,0
,2,2,100.0,,,,,,,39,0
,2,2,100.0,,,,,,,50,0
,2,2,100.0,,,,,,,57,0
,2,3,66.7,,,,,,,42,0
,2,2,100.0,,,,,,,47,0
,2,2,100.0,,,,,,,33,0
,1,1,100.0,,,,,,,52,0
,1,1,100.0,,,,,,,24,0
,1,1,100.0,,,,,,,25,0
,1,1,100.0,,,,,,,49,0
,1,2,50.0,,,,,,,24,0
,1,1,100.0,,,,,,,45,0
,1,2,50.0,,,,,,,42,0
