Player,FF,FR,FR TD
Montez Sweat,2,0,0
T.J. Watt,2,1,0
Jessie Bates,1,0,0
Markquese Bell,1,0,0
DeForest Buckner,1,1,1
Sean Murphy-Bunting,1,0,0
Brian Burns,1,0,0
Tyson Campbell,1,0,0
Andre Cisco,1,0,0
Kenny Clark,1,0,0
Micheal Clemons,1,0,0
Jordan Davis,1,0,0
Trevon Diggs,1,0,0
Victor Dimukeje,1,0,0
Zaire Franklin,1,0,0
Dennis Gardeck,1,0,0
Chauncey Golston,1,0,0
Cole Holcomb,1,0,0
Amani Hooker,1,1,0
Josh Jobe,1,0,0
Trent McDuffie,1,0,0
David Ojabo,1,0,0
Bobby Okereke,1,0,0
Jabrill Peppers,1,0,0
Germaine Pratt,1,0,0
