Player,INT,INT TD,INT Yds,Lng
Jordan Whitehead,3,0,0,0
Jessie Bates,2,0,3,3
Paulson Adebo,1,0,0,0
DaRon Bland,1,1,22,22
Brian Branch,1,1,50,50
Tony Brown,1,0,34,34
Tyson Campbell,1,0,0,0
Zaven Collins,1,0,1,1
Stephon Gilmore,1,0,0,0
Daxton Hill,1,0,20,20
Amani Hooker,1,0,10,10
Talanoa Hufanga,1,0,28,28
Christian Izien,1,0,14,14
J.C. Jackson,1,0,9,9
Kareem Jackson,1,0,0,0
Marshon Lattimore,1,0,0,0
Marcus Maye,1,0,5,5
Matt Milano,1,0,13,13
Steven Nelson,1,0,0,0
Darius Slay,1,1,70,70
Quay Walker,1,1,37,37
Charvarius Ward,1,0,9,9
