Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
,8,520,0,8,100.0,0,0.0,0,0,0,0
,7,455,0,7,100.0,0,0.0,0,0,0,0
,7,449,62,5,71.4,2,31.0,0,0,0,0
,7,455,0,7,100.0,0,0.0,0,0,0,0
,7,451,91,4,57.1,3,30.3,0,0,0,0
,6,391,84,2,33.3,4,21.0,0,0,0,0
,6,389,34,5,83.3,1,34.0,0,0,0,0
,6,384,110,1,16.7,5,22.0,0,0,0,0
,6,383,45,4,66.7,2,22.5,0,0,0,0
,6,385,19,5,83.3,1,19.0,0,0,0,0
,6,390,0,6,100.0,0,0.0,0,0,0,0
,5,323,46,3,60.0,2,23.0,0,0,0,0
,5,325,0,5,100.0,0,0.0,0,0,0,0
,5,323,15,4,80.0,1,15.0,0,0,0,0
,5,325,0,5,100.0,0,0.0,0,0,0,0
,5,320,0,5,100.0,0,0.0,0,0,0,0
,5,327,21,4,80.0,1,21.0,0,0,0,0
,5,276,55,2,40.0,2,27.5,1,0,0,0
,5,325,0,5,100.0,0,0.0,0,0,0,0
,4,280,55,2,50.0,2,27.5,0,0,0,0
,4,260,0,4,100.0,0,0.0,0,0,0,0
,4,264,20,3,75.0,1,20.0,0,0,0,0
,4,265,23,3,75.0,1,23.0,0,0,0,0
,4,204,0,3,75.0,0,0.0,1,0,0,0
,4,240,8,2,50.0,1,8.0,0,0,0,0
