Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
,59.0,47.2,189,4,73,236,0,1,0,2,0,1,7,0,0
,54.5,48.2,289,6,63,327,2,0,1,1,0,4,18,0,0
,53.3,47.7,143,3,62,160,0,0,1,0,0,2,17,0,0
,53.2,52.4,262,5,69,266,1,1,1,0,1,2,4,0,0
,53.0,39.5,158,4,54,212,1,1,0,0,0,3,54,0,0
,51.4,45.6,228,5,58,257,0,1,0,0,0,4,29,0,0
,49.8,45.0,225,5,67,249,3,0,0,0,3,2,24,0,0
,49.8,38.6,193,5,68,249,1,0,0,2,1,2,16,0,0
,49.4,46.2,231,5,58,247,3,0,1,0,3,1,16,0,0
,49.2,44.0,176,4,54,197,0,0,0,0,1,3,21,0,0
,49.0,49.0,49,1,49,49,0,0,0,0,1,0,0,0,0
,48.7,39.7,119,3,56,146,1,0,1,1,0,1,7,0,0
,48.3,41.7,125,3,62,145,0,0,0,1,2,0,0,0,0
,48.2,40.8,204,5,52,241,1,1,0,0,0,4,37,0,0
,48.1,46.1,323,7,60,337,3,2,1,0,1,3,14,0,0
,47.3,43.9,307,7,66,331,3,3,0,0,1,3,24,0,0
,47.0,45.0,225,5,56,235,2,1,0,0,1,3,10,0,0
,47.0,25.0,75,3,53,141,1,0,0,0,1,2,66,1,0
,45.2,35.2,176,5,65,226,3,1,0,1,1,2,30,0,0
,45.0,27.0,27,1,45,45,0,0,0,0,0,1,18,0,0
,44.7,44.0,132,3,56,134,3,1,1,0,0,1,2,0,0
,44.6,40.6,203,5,52,223,2,0,1,0,2,2,20,0,0
,44.4,41.2,206,5,61,222,3,0,1,0,1,3,16,0,0
,44.3,40.3,242,6,59,266,3,0,1,0,1,4,24,0,0
,44.0,39.0,156,4,48,176,0,2,0,1,1,0,0,0,0
