Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
,152,22,1,1,1,65,7,31.8,0
,127,10,0,2,1,83,2,20.0,1
,117,16,1,1,1,55,4,25.0,0
,106,18,0,0,0,17,7,38.9,0
,91,16,1,0,0,14,8,50.0,0
,77,18,1,1,0,26,4,22.2,0
,75,15,2,1,0,22,5,33.3,0
,74,21,1,0,0,8,4,19.0,0
,72,18,0,0,0,10,2,11.1,1
,70,14,2,1,0,25,5,35.7,0
,64,12,0,0,0,15,3,25.0,0
,63,15,0,0,0,18,4,26.7,0
,62,14,0,0,0,12,3,21.4,0
,60,9,0,1,0,21,6,66.7,0
,59,9,0,0,0,10,2,22.2,0
,59,19,0,0,0,7,5,26.3,0
,56,13,0,1,0,22,2,15.4,0
,56,10,0,1,0,21,2,20.0,0
,54,14,0,0,0,16,4,28.6,0
,52,13,0,0,0,11,2,15.4,0
,52,15,2,0,0,9,3,20.0,0
,51,12,0,0,0,18,2,16.7,0
,48,19,0,0,0,7,3,15.8,0
,46,12,0,0,0,13,5,41.7,0
,45,6,0,0,0,16,3,50.0,0
