Player,Comb,Asst,Solo,Sck
Bobby Wagner,19,10,7,0
Zaire Franklin,18,8,8,0
Roquan Smith,16,8,5,1
T.J. Edwards,14,8,5,0
Jevon Holland,14,4,6,0
DeShon Elliott,13,5,7,0
Reed Blankenship,12,3,9,0
Jordyn Brooks,12,8,4,0
Nate Hobbs,12,4,6,0
Foye Oluokun,12,4,7,0
Brandon Stephens,12,4,8,0
Devin White,12,4,6,0
Terrel Bernard,11,7,3,0
Alohi Gilman,11,2,7,0
Micah McFadden,11,7,4,0
Denzel Perryman,11,5,5,0
Jaelan Phillips,11,5,4,0.5
Germaine Pratt,11,4,4,1
Patrick Queen,11,8,3,1
D.J. Reed,11,1,8,0
Nick Scott,11,7,4,0
Josh Allen,10,2,6,3
Troy Andersen,10,7,3,0.5
Jessie Bates,10,5,4,0
Camryn Bynum,10,5,4,0
