Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Browns,40,206,5.2,1,0,0,19T,12,30,2
Rams,40,92,2.3,3,0,0,12,8,20,0
Chargers,40,234,5.8,3,1,1,55,17,42.5,0
Jaguars,35,105,3,2,1,0,26T,9,25.7,0
Lions,34,118,3.5,1,0,0,18T,8,23.5,0
49ers,34,188,5.5,1,1,1,65T,8,23.5,0
Buccaneers,33,73,2.2,0,0,0,6,5,15.2,0
Ravens,32,110,3.4,3,0,0,14T,7,21.9,1
Panthers,32,154,4.8,0,1,0,21,9,28.1,2
Packers,32,92,2.9,1,0,0,10,5,15.6,1
Cowboys,30,122,4.1,3,1,0,25T,7,23.3,0
Bears,29,122,4.2,1,0,0,12,8,27.6,0
Raiders,29,61,2.1,0,0,0,8,5,17.2,1
Giants,28,108,3.9,0,0,0,18,6,21.4,1
Jets,28,172,6.1,0,2,1,83,5,17.9,1
Commanders,28,92,3.3,1,0,0,7T,7,25,1
Saints,27,69,2.6,0,0,0,11,2,7.4,1
Falcons,26,130,5,2,2,0,22,7,26.9,0
Colts,26,65,2.5,1,0,0,12,4,15.4,1
Eagles,25,97,3.9,0,0,0,16,6,24,1
Cardinals,25,96,3.8,0,1,0,29,4,16,2
Texans,23,72,3.1,0,0,0,11,1,4.4,0
Chiefs,23,90,3.9,0,0,0,16,6,26.1,0
Bills,22,97,4.4,0,0,0,14,8,36.4,2
Broncos,22,94,4.3,0,0,0,12,5,22.7,0
Titans,22,104,4.7,0,0,0,18,5,22.7,0
Patriots,22,76,3.4,0,0,0,11,5,22.7,0
Bengals,20,75,3.8,0,1,0,22,2,10,0
Dolphins,20,70,3.5,1,0,0,12,5,25,2
Seahawks,18,85,4.7,0,0,0,15,3,16.7,0
Vikings,17,41,2.4,0,0,0,9,2,11.8,1
Steelers,10,41,4.1,0,1,0,24,3,30,0
