Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Nick Folk,5,5,100.0,,,,,,,50,0
Jake Elliott,4,4,100.0,,,,,,,56,0
Ka'imi Fairbairn,3,3,100.0,,,,,,,38,0
Blake Grupe,3,3,100.0,,,,,,,52,0
Dustin Hopkins,3,3,100.0,,,,,,,43,0
Brett Maher,3,5,60.0,,,,,,,54,1
Jake Moody,3,3,100.0,,,,,,,41,0
Matt Prater,3,3,100.0,,,,,,,54,0
Jason Sanders,3,3,100.0,,,,,,,45,0
Brandon Aubrey,2,2,100.0,,,,,,,38,0
Harrison Butker,2,2,100.0,,,,,,,39,0
Cameron Dicker,2,2,100.0,,,,,,,50,0
Chase McLaughlin,2,2,100.0,,,,,,,57,0
Jason Myers,2,3,66.7,,,,,,,42,0
Cairo Santos,2,2,100.0,,,,,,,47,0
Joey Slye,2,2,100.0,,,,,,,33,0
Anders Carlson,1,1,100.0,,,,,,,52,0
Daniel Carlson,1,1,100.0,,,,,,,24,0
Greg Joseph,1,1,100.0,,,,,,,25,0
Younghoe Koo,1,1,100.0,,,,,,,49,0
Wil Lutz,1,2,50.0,,,,,,,24,0
Brandon McManus,1,1,100.0,,,,,,,45,0
Evan McPherson,1,2,50.0,,,,,,,42,0
Eddy Pineiro,1,1,100.0,,,,,,,43,0
Justin Tucker,1,1,100.0,,,,,,,39,0
Chris Boswell,0,0,0.0,,,,,,,0,0
Graham Gano,0,2,0.0,,,,,,,0,1
Matt Gay,0,0,0.0,,,,,,,0,0
Riley Patterson,0,0,0.0,,,,,,,0,0
Chad Ryland,0,0,0.0,,,,,,,0,0
